Symbol,Name,Sector
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BDX,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIO,Bio-Rad Laboratories,Health Care
BIIB,Biogen Inc.,Health Care
BLK,BlackRock,Financials
BA,Boeing Company,Industrials
BKNG,Booking Holdings Inc,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions,Information Technology
BF.B,Brown-Forman Corp.,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
COG,Cabot Oil & Gas,Energy
CDNS,Cadence Design Systems,Information Technology
CZR,Caesars Entertainment,Consumer Discretionary
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,Health Care
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CARR,Carrier Global,Industrials
CTLT,Catalent,Health Care
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CDW,CDW,Information Technology
CE,Celanese,Materials
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
CRL,Charles River Laboratories,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Communication Services
CMA,Comerica Inc.,Financials
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CPRT,Copart Inc,Industrials
GLW,Corning Inc.,Information Technology
CTVA,Corteva,Materials
COST,Costco Wholesale Corp.,Consumer Staples
CCI,Crown Castle,Real Estate
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Health,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines Inc.,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty Trust Inc,Real Estate
DFS,Discover Financial Services,Financials
DISCA,Discovery Inc. (Series A),Communication Services
DISCK,Discovery Inc. (Series C),Communication Services
DISH,Dish Network,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's Pizza,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty Corp,Real Estate
DD,DuPont de Nemours Inc,Materials
DXC,DXC Technology,Information Technology
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Consumer Discretionary
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
EMR,Emerson Electric Company,Industrials
ENPH,Enphase Energy,Information Technology
ETR,Entergy Corp.,Utilities
EOG,EOG Resources,Energy
EFX,Equifax Inc.,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust Inc.,Real Estate
EL,Estée Lauder Companies,Consumer Staples
ETSY,Etsy,Consumer Discretionary
RE,Everest Re Group Ltd.,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors,Industrials
EXR,Extra Space Storage,Real Estate
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook Inc.,Communication Services
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FRC,First Republic Bank,Financials
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,Information Technology
FLT,FleetCor Technologies Inc,Information Technology
FMC,FMC Corporation,Materials
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan Inc.,Materials
GPS,Gap Inc.,Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
IT,Gartner Inc,Information Technology
GNRC,Generac Holdings,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments Inc.,Information Technology
GL,Globe Life Inc.,Financials
GS,Goldman Sachs Group,Financials
GWW,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Energy
HBI,Hanesbrands Inc,Consumer Discretionary
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,Consumer Discretionary
HCA,HCA Healthcare,Health Care
PEAK,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP Inc.,Information Technology
HUM,Humana Inc.,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
INFO,IHS Markit,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Health Care
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
INTC,Intel Corp.,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Business Machines,Information Technology
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
IPG,Interpublic Group,Communication Services
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Health Care
IVZ,Invesco Ltd.,Financials
IPGP,IPG Photonics Corp.,Information Technology
IQV,IQVIA Holdings Inc.,Health Care
IRM,Iron Mountain Incorporated,Real Estate
JBHT,J. B. Hunt Transport Services,Industrials
JKHY,Jack Henry & Associates,Information Technology
J,Jacobs Engineering Group,Industrials
SJM,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA Corporation,Information Technology
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
LB,L Brands Inc.,Consumer Discretionary
LHX,L3Harris Technologies,Industrials
LH,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Information Technology
LW,Lamb Weston Holdings Inc,Consumer Staples
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LDOS,Leidos Holdings,Industrials
LEN,Lennar Corp.,Consumer Discretionary
LLY,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Financials
LIN,Linde plc,Materials
LYV,Live Nation Entertainment,Communication Services
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Financials
LOW,Lowe's Cos.,Consumer Discretionary
LUMN,Lumen Technologies,Communication Services
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
MKTX,MarketAxess,Financials
MAR,Marriott International,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp.,Industrials
MA,Mastercard Inc.,Information Technology
MXIM,Maxim Integrated Products,Information Technology
MKC,McCormick & Co.,Consumer Staples
MCD,McDonald's Corp.,Consumer Discretionary
MCK,McKesson Corp.,Health Care
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MET,MetLife Inc.,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts International,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MAA,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MPWR,Monolithic Power Systems,Information Technology
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions Inc.,Information Technology
MSCI,MSCI Inc,Financials
NDAQ,Nasdaq Inc.,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix Inc.,Communication Services
NWL,Newell Brands,Consumer Discretionary
NEM,Newmont Corporation,Materials
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike Inc.,Consumer Discretionary
NI,NiSource Inc.,Utilities
NSC,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Financials
NOC,Northrop Grumman,Industrials
NLOK,NortonLifeLock,Information Technology
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NOV,NOV Inc.,Energy
NRG,NRG Energy,Utilities
NUE,Nucor Corp.,Materials
NVDA,Nvidia Corporation,Information Technology
NVR,NVR Inc.,Consumer Discretionary
NXPI,NXP Semiconductors,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion Freight Line,Industrials
OMC,Omnicom Group,Communication Services
OKE,Oneok,Energy
ORCL,Oracle Corp.,Information Technology
OGN,Organon & Co.,Health Care
OTIS,Otis Worldwide,Industrials
PCAR,Paccar,Industrials
PKG,Packaging Corporation of America,Materials
PH,Parker-Hannifin,Industrials
PAYX,Paychex Inc.,Information Technology
PAYC,Paycom,Information Technology
PYPL,PayPal,Information Technology
PENN,Penn National Gaming,Consumer Discretionary
PNR,Pentair plc,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo Inc.,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer Inc.,Health Care
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corp.,Utilities
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp.,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PTC,PTC Inc.,Information Technology
PEG,Public Service Enterprise Group (PSEG),Utilities
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PVH,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,Qualcomm,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren Corporation,Consumer Discretionary
RJF,Raymond James Financial,Financials
RTX,Raytheon Technologies,Industrials
O,Realty Income Corporation,Real Estate
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RMD,ResMed,Health Care
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
ROL,Rollins Inc.,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global Inc.,Financials
CRM,Salesforce.com,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger Ltd.,Energy
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Information Technology
SNA,Snap-on,Industrials
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,Financials
STE,Steris,Health Care
SYK,Stryker Corp.,Health Care
SIVB,SVB Financial,Financials
SYF,Synchrony Financial,Financials
SNPS,Synopsys Inc.,Information Technology
SYY,Sysco Corp.,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,Tapestry Inc.,Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
TDY,Teledyne Technologies,Industrials
TFX,Teleflex,Health Care
TER,Teradyne,Information Technology
TSLA,Tesla Inc.,Consumer Discretionary
TXN,Texas Instruments,Information Technology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper Companies,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies,Financials
DIS,The Walt Disney Company,Communication Services
TMO,Thermo Fisher Scientific,Health Care
TJX,TJX Companies Inc.,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
TT,Trane Technologies plc,Industrials
TDG,TransDigm Group,Industrials
TRMB,Trimble Inc.,Information Technology
TFC,Truist Financial,Financials
TWTR,Twitter Inc.,Communication Services
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR Inc.,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
UNP,Union Pacific Corp,Industrials
UAL,United Airlines Holdings,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals Inc.,Industrials
UNH,UnitedHealth Group Inc.,Health Care
UHS,Universal Health Services,Health Care
UNM,Unum Group,Financials
VLO,Valero Energy,Energy
VTR,Ventas Inc,Real Estate
VRSN,Verisign Inc.,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Communication Services
VRTX,Vertex Pharmaceuticals Inc,Health Care
VFC,VF Corporation,Consumer Discretionary
VIAC,ViacomCBS,Communication Services
VTRS,Viatris,Health Care
V,Visa Inc.,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WRB,W. R. Berkley Corporation,Financials
WBA,Walgreens Boots Alliance,Consumer Staples
WMT,Walmart,Consumer Staples
WM,Waste Management Inc.,Industrials
WAT,Waters Corporation,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower Inc.,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WAB,Westinghouse Air Brake Technologies Corp,Industrials
WRK,WestRock,Materials
WY,Weyerhaeuser,Real Estate
WHR,Whirlpool Corp.,Consumer Discretionary
WMB,Williams Companies,Energy
WLTW,Willis Towers Watson,Financials
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Utilities
XLNX,Xilinx,Information Technology
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands Inc,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
Symbol	Company Name	Industry
3MINDIA	3M India Ltd.	CONSUMER GOODS
ABB	ABB India Ltd.	INDUSTRIAL MANUFACTURING
POWERINDIA	ABB Power Products and Systems India Ltd.	INDUSTRIAL MANUFACTURING
ACC	ACC Ltd.	CEMENT & CEMENT PRODUCTS
AIAENG	AIA Engineering Ltd.	INDUSTRIAL MANUFACTURING
APLAPOLLO	APL Apollo Tubes Ltd.	METALS
AUBANK	AU Small Finance Bank Ltd.	FINANCIAL SERVICES
AARTIDRUGS	Aarti Drugs Ltd.	PHARMA
AARTIIND	Aarti Industries Ltd.	CHEMICALS
AAVAS	Aavas Financiers Ltd.	FINANCIAL SERVICES
ABBOTINDIA	Abbott India Ltd.	PHARMA
ADANIENT	Adani Enterprises Ltd.	METALS
ADANIGREEN	Adani Green Energy Ltd.	POWER
ADANIPORTS	Adani Ports and Special Economic Zone Ltd.	SERVICES
ATGL	Adani Total Gas Ltd.	OIL & GAS
ADANITRANS	Adani Transmission Ltd.	POWER
ABCAPITAL	Aditya Birla Capital Ltd.	FINANCIAL SERVICES
ABFRL	Aditya Birla Fashion and Retail Ltd.	CONSUMER SERVICES
ADVENZYMES	Advanced Enzyme Tech Ltd.	CONSUMER GOODS
AEGISCHEM	Aegis Logistics Ltd.	SERVICES
AFFLE	Affle (India) Ltd.	IT
AJANTPHARM	Ajanta Pharmaceuticals Ltd.	PHARMA
AKZOINDIA	Akzo Nobel India Ltd.	CONSUMER GOODS
ALEMBICLTD	Alembic Ltd.	PHARMA
APLLTD	Alembic Pharmaceuticals Ltd.	PHARMA
ALKEM	Alkem Laboratories Ltd.	PHARMA
ALKYLAMINE	Alkyl Amines Chemicals Ltd.	CHEMICALS
ALOKINDS	Alok Industries Ltd.	TEXTILES
AMARAJABAT	Amara Raja Batteries Ltd.	AUTOMOBILE
AMBER	Amber Enterprises India Ltd.	CONSUMER GOODS
AMBUJACEM	Ambuja Cements Ltd.	CEMENT & CEMENT PRODUCTS
ANGELBRKG	Angel Broking Ltd.	FINANCIAL SERVICES
APOLLOHOSP	Apollo Hospitals Enterprise Ltd.	HEALTHCARE SERVICES
APOLLOTYRE	Apollo Tyres Ltd.	AUTOMOBILE
ASAHIINDIA	Asahi India Glass Ltd.	AUTOMOBILE
ASHOKLEY	Ashok Leyland Ltd.	AUTOMOBILE
ASHOKA	Ashoka Buildcon Ltd.	CONSTRUCTION
ASIANPAINT	Asian Paints Ltd.	CONSUMER GOODS
ASTERDM	Aster DM Healthcare Ltd.	HEALTHCARE SERVICES
ASTRAZEN	AstraZenca Pharma India Ltd.	PHARMA
ASTRAL	Astral Ltd.	INDUSTRIAL MANUFACTURING
ATUL	Atul Ltd.	CHEMICALS
AUROPHARMA	Aurobindo Pharma Ltd.	PHARMA
AVANTIFEED	Avanti Feeds Ltd.	CONSUMER GOODS
DMART	Avenue Supermarts Ltd.	CONSUMER SERVICES
AXISBANK	Axis Bank Ltd.	FINANCIAL SERVICES
BASF	BASF India Ltd.	CHEMICALS
BEML	BEML Ltd.	INDUSTRIAL MANUFACTURING
BSE	BSE Ltd.	FINANCIAL SERVICES
BAJAJ-AUTO	Bajaj Auto Ltd.	AUTOMOBILE
BAJAJCON	Bajaj Consumer Care Ltd.	CONSUMER GOODS
BAJAJELEC	Bajaj Electricals Ltd	CONSUMER GOODS
BAJFINANCE	Bajaj Finance Ltd.	FINANCIAL SERVICES
BAJAJFINSV	Bajaj Finserv Ltd.	FINANCIAL SERVICES
BAJAJHLDNG	Bajaj Holdings & Investment Ltd.	FINANCIAL SERVICES
BALAMINES	Balaji Amines Ltd.	CHEMICALS
BALKRISIND	Balkrishna Industries Ltd.	AUTOMOBILE
BALMLAWRIE	Balmer Lawrie & Co. Ltd.	INDUSTRIAL MANUFACTURING
BALRAMCHIN	Balrampur Chini Mills Ltd.	CONSUMER GOODS
BANDHANBNK	Bandhan Bank Ltd.	FINANCIAL SERVICES
BANKBARODA	Bank of Baroda	FINANCIAL SERVICES
BANKINDIA	Bank of India	FINANCIAL SERVICES
MAHABANK	Bank of Maharashtra.	FINANCIAL SERVICES
BATAINDIA	Bata India Ltd.	CONSUMER GOODS
BAYERCROP	Bayer Cropscience Ltd.	FERTILISERS & PESTICIDES
BERGEPAINT	Berger Paints India Ltd.	CONSUMER GOODS
BDL	Bharat Dynamics Ltd.	INDUSTRIAL MANUFACTURING
BEL	Bharat Electronics Ltd.	INDUSTRIAL MANUFACTURING
BHARATFORG	Bharat Forge Ltd.	INDUSTRIAL MANUFACTURING
BHEL	Bharat Heavy Electricals Ltd.	INDUSTRIAL MANUFACTURING
BPCL	Bharat Petroleum Corporation Ltd.	OIL & GAS
BHARATRAS	Bharat Rasayan Ltd.	FERTILISERS & PESTICIDES
BHARTIARTL	Bharti Airtel Ltd.	TELECOM
BIOCON	Biocon Ltd.	PHARMA
BIRLACORPN	Birla Corporation Ltd.	CEMENT & CEMENT PRODUCTS
BSOFT	Birlasoft Ltd.	IT
BLISSGVS	Bliss GVS Pharma Ltd.	PHARMA
BLUEDART	Blue Dart Express Ltd.	SERVICES
BLUESTARCO	Blue Star Ltd.	CONSUMER GOODS
BBTC	Bombay Burmah Trading Corporation Ltd.	CONSUMER GOODS
BOSCHLTD	Bosch Ltd.	AUTOMOBILE
BRIGADE	Brigade Enterprises Ltd.	CONSTRUCTION
BRITANNIA	Britannia Industries Ltd.	CONSUMER GOODS
BURGERKING	Burger King India Ltd.	CONSUMER SERVICES
CCL	CCL Products (I) Ltd.	CONSUMER GOODS
CESC	CESC Ltd.	POWER
CRISIL	CRISIL Ltd.	FINANCIAL SERVICES
CSBBANK	CSB Bank Ltd.	FINANCIAL SERVICES
CADILAHC	Cadila Healthcare Ltd.	PHARMA
CANFINHOME	Can Fin Homes Ltd.	FINANCIAL SERVICES
CANBK	Canara Bank	FINANCIAL SERVICES
CAPLIPOINT	Caplin Point Laboratories Ltd.	PHARMA
CGCL	Capri Global Capital Ltd.	FINANCIAL SERVICES
CARBORUNIV	Carborundum Universal Ltd.	INDUSTRIAL MANUFACTURING
CASTROLIND	Castrol India Ltd.	OIL & GAS
CEATLTD	Ceat Ltd.	AUTOMOBILE
CENTRALBK	Central Bank of India	FINANCIAL SERVICES
CDSL	Central Depository Services (India) Ltd.	FINANCIAL SERVICES
CENTURYPLY	Century Plyboards (India) Ltd.	CONSUMER GOODS
CENTURYTEX	Century Textile & Industries Ltd.	PAPER AND JUTE
CERA	Cera Sanitaryware Ltd	CONSUMER GOODS
CHALET	Chalet Hotels Ltd.	CONSUMER SERVICES
CHAMBLFERT	Chambal Fertilizers & Chemicals Ltd.	FERTILISERS & PESTICIDES
CHOLAHLDNG	Cholamandalam Financial Holdings Ltd.	FINANCIAL SERVICES
CHOLAFIN	Cholamandalam Investment and Finance Company Ltd.	FINANCIAL SERVICES
CIPLA	Cipla Ltd.	PHARMA
CUB	City Union Bank Ltd.	FINANCIAL SERVICES
COALINDIA	Coal India Ltd.	METALS
COCHINSHIP	Cochin Shipyard Ltd.	INDUSTRIAL MANUFACTURING
COFORGE	Coforge Ltd.	IT
COLPAL	Colgate Palmolive (India) Ltd.	CONSUMER GOODS
CAMS	Computer Age Management Services Ltd.	FINANCIAL SERVICES
CONCOR	Container Corporation of India Ltd.	SERVICES
COROMANDEL	Coromandel International Ltd.	FERTILISERS & PESTICIDES
CREDITACC	CreditAccess Grameen Ltd.	FINANCIAL SERVICES
CROMPTON	Crompton Greaves Consumer Electricals Ltd.	CONSUMER GOODS
CUMMINSIND	Cummins India Ltd.	INDUSTRIAL MANUFACTURING
CYIENT	Cyient Ltd.	IT
DCBBANK	DCB Bank Ltd.	FINANCIAL SERVICES
DCMSHRIRAM	DCM Shriram Ltd.	CONSUMER GOODS
DLF	DLF Ltd.	CONSTRUCTION
DABUR	Dabur India Ltd.	CONSUMER GOODS
DALBHARAT	Dalmia Bharat Ltd.	CEMENT & CEMENT PRODUCTS
DEEPAKNTR	Deepak Nitrite Ltd.	CHEMICALS
DELTACORP	Delta Corp Ltd.	CONSUMER SERVICES
DHANI	Dhani Services Ltd.	FINANCIAL SERVICES
DHANUKA	Dhanuka Agritech Ltd.	FERTILISERS & PESTICIDES
DBL	Dilip Buildcon Ltd.	CONSTRUCTION
DISHTV	Dish TV India Ltd.	MEDIA ENTERTAINMENT & PUBLICATION
DCAL	Dishman Carbogen Amcis Ltd.	PHARMA
DIVISLAB	Divi's Laboratories Ltd.	PHARMA
DIXON	Dixon Technologies (India) Ltd.	CONSUMER GOODS
LALPATHLAB	Dr. Lal Path Labs Ltd.	HEALTHCARE SERVICES
